country,author,date_of_publication,title_3,study_design,study_timeframe,sources_of_data,study_setting_location,hospital_service_coverage_area,bed_capacity_number,operating_rooms_number,burn_unit_availability_yes_no,anesthesia_availability_yes_no,ventilator_availability_yes_no,blood_bank_availability_yes_no,laboratory_services_available_yes_no,imaging_services_available_yes_no,sterilization_facilities_yes_no,surveillance_system_yes_no,surveillance_system_details,health_information_system_yes_no,health_information_system_details,surgeons_number,surgeons_description,anesthetists_number,anesthetists_description,nurses_number,nurses_description,other_healthcare_providers_number,other_healthcare_providers_description,affiliation_of_surgeons_other_healthcare_providers_number,affiliation_of_surgeons_other_healthcare_providers_description,sample_size,prevalence_rate,incidence_rate,disability_adjusted_life_years_dal_ys,cost_to_individuals_cost_in_usd_or_other_currency,cost_to_government_cost_in_usd_or_other_currency
Nigeria,"Ahachi C.N., Fadeyibi I.O., Abikoye F.O., et al.",11-Jun,"The direct hospitalization cost of care for acute burns in Lagos, Nigeria: a one-year prospective study",Other: prospective observational study,06/2007 - 05/2008,"Patient records, hospital billing departments, special data collection forms","National Orthopaedic Hospital, Igbobi, Lagos (Public tertiary hospital)",NA,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52 patients,NA,NA,NA,"₦209,303.70 per patient (~$1,395 at 2007–2008 exchange rate)
- Average cost per patient per day = ₦8,885
","DIRECT COST OF MANAGING ACUTE CASES
- Total = ₦5,665,000 

COST BREAKDOWN OF ITEMS IN MANAGEMENT OF ACUTE BURNS (₦)
Bed / Meals / Nursing Care
- Total: 1,049,275 
- Range: 9,000 – 322,500 
- Mean ± SD: 40,356.7 ± 29,483.3 
Dressings
- Total: 2,923,525 TSH
- Range: 1,800 – 1,346,500 TSH
- Mean ± SD: 108,278.7 ± 19,971.7 
Drugs
- Total: 1,010,823 TSH
- Range: 1,550 – 371,980 TSH
- Mean ± SD: 37,437.9 ± 20,956.1 
Splints
- Total: 78,700 
- Range: 1,500 – 14,000 
- Mean ± SD: 7,154.5 ± 4,317.7 
Surgery
- Total: 244,000 
- Range: 8,000 – 105,000 
- Mean ± SD: 34,857.1 ± 34,455.6 
Physiotherapy
- Total: 111,000 
- Range: 1,000 – 20,000
- Mean ± SD: 4,400 ± 4,213.9 
Investigations
- Total: 169,230 
- Range: 270 – 34,970 
- Mean ± SD: 7,051.3 ± 6,645.3 
Clinic Visits
- Total: 16,200 
- Range: 100 – 2,300 
- Mean ± SD: 1,060 ± 896 
Pressure Garments
- Total: 62,000 
- Range: 2,500 – 11,500 TSH
- Mean ± SD: 6,200 ± 3,011.1 
Overall Total
- Total Cost: 5,664,753
- Range: 14,470 – 2,206,950
- Mean ± SD: 209,805.7 ± 77,397.2

COST OF SURGICAL PROCEDURES ON ACUTE BURN PATEINTS (in Naira)
Major Surgery
- Total: ₦180,000
- Range: ₦20,000 – ₦105,000
- Mean ± SD: ₦60,000 ± ₦42,720
Intermediate Surgery
- Total: ₦12,000
- Range: ₦0 – ₦12,000
- Mean ± SD: ₦12,000 ± ₦4,827
Minor Surgery
- Total: ₦52,000
- Range: ₦8,000 – ₦31,000
- Mean ± SD: ₦10,400 ± ₦34,435.6

TOTAL COST OF MANAGEMENT OF BURNS 9ACUTE AND NON-ACUTE) = ₦10,883,792
Cost of Bed/Meals/Nursing Care = ₦2,798,720 (25.7%)
- Range = ₦9,000 – ₦481,250
- Mean ± SD = ₦57,116.7 ± ₦37,029.6
Cost of Dressings = ₦3,214,445 (29.5%)
- Range = ₦500 – ₦1,346,500
- Mean ± SD = ₦65,600.9 ± ₦17,080.8
Cost of Drugs = ₦1,677,307 (15.4%)
- Range = ₦1,550 – ₦371,980
- Mean ± SD = ₦32,255.9 ± ₦22,106.9
Cost of Splints = ₦199,300 (1.8%)
- Range = ₦2,000 – ₦20,000
- Mean ± SD = ₦7,117.9 ± ₦4,306.2
Cost of Surgery = ₦2,076,700 (19.1%)
- Range = ₦8,000 – ₦237,000
- Mean ± SD = ₦69,223.3 ± ₦54,636.1
Cost of Physiotherapy = ₦415,000 (3.8%)
- Range = ₦1,000 – ₦35,000
- Mean ± SD = ₦8,829.8 ± ₦8,122.2
Cost of Investigations = ₦263,220 (2.4%)
- Range = ₦270 – ₦34,970
- Mean ± SD = ₦5,371.8 ± ₦5,259.9
Cost of Clinic Visits = ₦62,200 (0.6%)
- Range = ₦100 – ₦3,800
- Mean ± SD = ₦1,352.2 ± ₦1,036.8
Cost of Pressure Garments = ₦176,900 (1.6%)
- Range = ₦1,500 – ₦14,000
- Mean ± SD = ₦5,706.5 ± ₦2,990.4"
Ghana,"Agbenorku P., Akpaloo J., Yalley D., et al.",10-Jun,"A new era in the management of burns trauma in kumasi, ghana",Other: prospective observational study,02/2001 - 01/2006,primary data collection (parameters of all burn patients admitted to the BICU were entered into a computer database),"Burns Intensive Care Unit (BICU) of the Komfo Anokye Teaching Hospital, Kumasi, Ghana","""The Komfo Anokye Teaching Hospital (KATH) in Kumasi, Ghana, is the second-largest hospital in the country and the only tertiary health institution in the middle belt of the country. It is the main referral hospital for the Ashanti, Brong Ahafo, Northern, Upper East, and Upper West Regions.""","1000 beds
",NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,Medical records,3 consultant surgeons,"""The BICU, having started with only one consultant surgeon, a few general nurses, and auxiliary nursing staff grew steadily with staffing. More general nurses were added by the hospital administration, of whom six were sponsored by a Scottish NGO - the International Reconstructive Plastic Surgery (Ghana) Project - to receive training in renowned plastic surgery centres in Dundee and Glasgow, Scotland."";

""The team was later joined by two more consultants who with their vibrant dynamism brought further success to the unit.""""",NA,NA,"""...a few general nurses and auxiliary nursing staff.""","""...a few general nurses, and auxiliary nursing staff grew steadily with staffing. More general nurses were added by the hospital administration, of whom six were sponsored by a Scottish NGO - the International Reconstructive Plastic Surgery (Ghana) Project - to receive training in renowned plastic surgery centres in Dundee and Glasgow, Scotland.""",NA,"""The burns management team was also joined by a clinical pharmacy team, who together with the physiotherapists and nutritionists all conducted combined weekly grand ward rounds.",NA,NA,826 patients,NA,NA,NA,NA,NA
Ghana,"Agbenorku P., Akpaloo J., Farhat B.F., et al.",10-Mar,Burn disasters in the middle belt of Ghana from 2007 to 2008 and their consequences,Other: Retrospective study,09/2007 - 10/2008,Clinical records from the Burns Intensive Care Unit (BICU) of Reconstructive Plastic Surgery and Burns Unit; collected from the Casualty Unit,"Burn Intensive Care Unit Komfo Anokye Teaching Hospital, Kumasi, Ghana (tertiary health institution)

Main referral hospital for the Ashanti, Brong-Ahafo, Northern, Upper East and Upper West Regions",NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Clinical records of the Burns Intensive Care Unit (BICU) of the Reconstructive Plastic Surgery and Burns Unit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,NA,NA,NA,"Average cost per patient:
- Wound dressing = $826
- Medication = $305
- Surgery = $600","Cost to hospital (total cost):
- Wound dressing = $38,000
- Medication = $14,030
- Surgery = $4200
- Total cost = $56,230"
Ghana,"Agbenorku P., Agbenorku M., Fiifi-Yankson P.K.",13-Jul,Pediatric burns mortality risk factors in a developing country's tertiary burns intensive care unit,Other: retrospective cohort study,05/2009 - 04/2012,"medical records (""pediatric burn admissions records and patients’ folders of the Reconstructive Plastic Surgery & Burns Unit (RPSBU), Komfo Anokye Teaching Hospital (KATH))","Reconstructive Plastic Surgery & Burns Unit (RPSBU), Komfo Anokye Teaching Hospital (tertiary health institution)",NA,"Komfo Anokye Teaching Hospital = 1000 beds;
Reconstructive Plastic Surgery & Burns Unit = 160 beds;
Burns Intensive Care Unit = 6 beds",NA,yes,no,yes,no,no,no,no,NA,NA,yes,"""...pediatric burn admissions records and patients’ folders of the Reconstructive Plastic Surgery & Burns Unit (RPSBU), Komfo Anokye Teaching Hospital (KATH).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197 patients,NA,NA,NA,1062 USD  for 11.3 days,NA
Ghana,"Agbenorku P., Agbenorku M., Effah A.T., et al.",16-Dec,"Descriptive epidemiological study of burn admissions to the burns intensive care unit of the komfo anokye teaching hospital, kumasi-Ghana, 2009-2016",Other: Longitudinal and Retrospective study,05/2009 - 04/2016,medical records (records of the Reconstructive Plastic Surgery and Burns Unit),Accident and Emergency Centre of the Komfo Anokye Teaching Hospital (Burns Intensive Care Unit within the Reconstructive Plastic Surgery and Burns Unit ),“It is the main referral centre for the treatment of burns in the middle belt of Ghana.”,160,NA,Yes,NA,yes,NA,NA,NA,NA,NA,NA,yes,medical  records,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681 burn patients,NA,NA,NA,NA,NA
Ghana,"Agbenorku P., Agbenorku M., Amankwa A., et al.",11-Jun,"Factors enhancing the control of Buruli ulcer in the Bomfa communities, Ghana","Other: prospective, uncontrolled before-and-after (pre-post) cohort study",01/2005 - 12/2005,primary data collection,"Global Evangelical Mission Hospital, Apromase",NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plastic surgeon = 1;
surgical resident = 1","""All treatments during the study were performed at the GEM Hospital by two doctors, namely a consultant plastic surgeon and a surgical resident, and supported by clinical nurses, a medical assistant and other medical support staff. """,NA,NA,clinical nurses = unspecified number,"""All treatments during the study were performed at the GEM Hospital by two doctors, namely a consultant plastic surgeon and a surgical resident, and supported by clinical nurses, a medical assistant and other medical support staff. ""","medical assistant = unspecified number;
medical support staff = unspecified number","""All treatments during the study were performed at the GEM Hospital by two doctors, namely a consultant plastic surgeon and a surgical resident, and supported by clinical nurses, a medical assistant and other medical support staff. """,NA,NA,189 BU patients,NA,NA,NA,NA,NA
Ghana,Agbenorku P.,13-Dec,"Modernized standards in burns management: A comparative study in Komfo Anokye Teaching Hospital, Kumasi, Ghana",Other: retrospective observational study,05/2007 - 04/2009 (Group 1); 05/2009 - 04/2011 (Group 2),"Hospital records, patient files, lab tests","Komfo Anokye Teaching Hospital (KATH), Kumasi (Teaching and referral hospital)",NA,Old BICU: 6 beds; New BICU: 6 air-conditioned rooms,Adjacent to new BICU,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,“Computer database used for patient records”,1–3,“Plastic surgery team expanded over time”,Not specified,“Both BICU's anaesthetist services always available.”,6,"""More general nurses were added by the hospital administration, of whom six were sponsored by a Scottish
NGO – the International Reconstructive Plastic Surgery
(Ghana) Project (now called ReSurge Africa) – to receive
training in plastic surgery centres in Dundee and Glasgow,
Scotland before the establishment ofthe old BICU""","“Nutritionists, physiotherapists, pharmacists involved”",NA,NA,NA,511 patients (Group 1: 242; Group 2: 269),NA,NA,NA,Average $1000 (Group 2); “NHIS covered most costs; uninsured paid out-of-pocket”,NA
Uganda,"Adupa E., Kanyike A.M., Mwebembezi J., et al.",23-Sep,Delayed access to essential surgical care in Uganda: A tertiary multi-center study,Other: Descriptive multi-center cross-sectional survey,12/2019 - 12/2021,"Patient interviews, hospital records, Google Forms","Mulago National Referral Hospital (Central), Mbale Regional Referral Hospital (Eastern), Lacor Referral Hospital (Northern) (Regional and national referral centers)",“Hospitals serve multiple regions across Uganda”,NA,NA,NA,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,3–5 per hospital,“Limited number of surgeons contributed to delays”,3–5 per hospital,“Shortage of anesthetists noted”,NA,NA,NA,NA,NA,NA,635 patients,NA,NA,NA,NA,NA
Ghana,"Adu E.J.K., Ampadu E.",15-Apr,Mycobacterium ulcerans disease in the middle belt of Ghana: An eight-year review from six endemic districts,Other: case series,01/2005 - 12/2012,primary data collection (patient screening; laboratory confirmed active cases of MU),"Ahafo Ano, Amansie Central, Amansie West, Asunafo, Asutifi, and Upper Denkyira districts of Ghana",not documented,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518 patients,NA,NA,NA,NA,NA
Ghana,Adu E.J.K.,13-Sep,Management of complications of Mycobacterium ulcerans disease: A three-year review,Other: prospective observational study,01/2010 - 12/2012,primary data collection (patient case notes),"Tepa in Ahafo Ano (in 2010), Agroyesum in Amansie West (in 2011), Kukuom in Asunafo (in 2012), and Dunkwa in Upper Denkyira (in 2012) districts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"""Patients with lesions suspected to be MU disease were identified by specially trained health workers in the communities, and referred to the district hospitals for confirmation of the diagnosis by the doctor, either by direct smear examination, polymerase chain reaction (PCR), or by histopathology
of tissue obtained by punch biopsy, or by excision. PCR and
histopathology were either done at the Kumasi Centre for Collaborative Research (KCCR) into Tropical Diseases or Komfo Anokye Teaching Hospital (KATH) in Kumasi. Culture and
sensitivity for MU was not done routinely for confirmation of MU disease during the current study""",yes,patient case notes,plastic surgeon from Komfo Anokye Teaching Hospital = 1,"""The surgeries were performed at the district hospitals by a team comprising one plastic surgeon and one theatre nurse from Komfo Anokye Teaching Hospital, who were assisted by a doctor, an anesthetist and theatre nurses from the district hospitals.""",anesthetist = 1 (support from district hospitals),"""The surgeries were performed at the district hospitals by a team comprising one plastic surgeon and one theatre nurse from Komfo Anokye Teaching Hospital, who were assisted by a doctor, an anesthetist and theatre nurses from the district hospitals.""",theatre nurse from Komfo Anokye Teaching Hospital = 1 + unspecified number of support theatre nurses,"""The surgeries were performed at the district hospitals by a team comprising one plastic surgeon and one theatre nurse from Komfo Anokye Teaching Hospital, who were assisted by a doctor, an anesthetist and theatre nurses from the district hospitals.""",doctor (unspecified specialty) = 1,"""The surgeries were performed at the district hospitals by a team comprising one plastic surgeon and one theatre nurse from Komfo Anokye Teaching Hospital, who were assisted by a doctor, an anesthetist and theatre nurses from the district hospitals.""",NA,NA,65 patients with complications of MU disease (126 total MU patients),NA,NA,NA,NA,NA
Nigeria,"Adetayo O., Ford R., Martin M., et al.",12-May,Africa has unique and urgent barriers to cleft care: Lessons from practitioners at the pan-african congress on cleft lip and palate,Cross sectional study,02/2007-02/2007,primary data collection (survey),"Pan-African Congress on Cleft Lip and Palate (PACCLIP), which took place in Ibadan, Nigeria, West Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68 responders to the survey,NA,NA,NA,NA,NA
Nigeria,"Adesina S.A., Amole I.O., Owolabi J.I., et al.",23-Mar,"Locked intramedullary nailing of open fractures in resource-poor settings: a prospective observational study of challenges and functional outcomes in 101 fractures at Ogbomoso, Nigeria",Other: Prospective observational study,07/2014 - 02/2022,primary data collection,"Bowen University Teaching Hospital, Ogbomoso, Nigeria",NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,1 senior orthopedic surgeon; others were junior residents and medical officers,“Lead author (family physician) performed most surgeries due to staff shortages”,NA,NA,Not specified,“Nurses performed daily wound dressing”,NA,NA,NA,NA,101 open fractures in 94 patients,NA,NA,NA,NA,NA
Nigeria,"Aderounmu A.O.A, Afolayan S.A., Nasiru T.A., et al.",8-Jul,Rotational rural surgery for the poor in developing countries,Other: descriptive observational study,NA,primary data collection,"9 Zonal Headquarters’ Hospital (a secondary level health institution) in the rural areas of Osun State, Nigeria",183025 - 635168 population,NA,~10 (each site),NA,yes (limited),No available,NA,NA,NA,yes,NA,NA,NA,NA,not specified,"""... itinerant surgical team, comprising of consultants from the Teaching Hospital (most of whom are Fellows of International College of Surgeons, Nigerian National Section, with Professor Ndubuisi Eke as the National Coordinator, that promote Rural Surgical Practice) and the State Government doctors..."";
""The operating team, consisting of surgeons, theatre nurses, nurse anaesthetists and other supporting staff would move to the zone (a smaller section of a geographical location consisting of two to four local governments in a geo-political area of the state) to be visited that week.""",NA,NA,not specified,"""The operating team, consisting of surgeons, theatre nurses, nurse anaesthetists and other supporting staff would move to the zone (a smaller section of a geographical location consisting of two to four local governments in a geo-political area of the state) to be visited that week.""",NA,"""The operating team, consisting of surgeons, theatre nurses, nurse anaesthetists and other supporting staff would move to the zone (a smaller section of a geographical location consisting of two to four local governments in a geo-political area of the state) to be visited that week.""",NA,NA,719 patients (who had detailed records of treatment and follow-up),NA,NA,NA,NA,NA
Nigeria,"Adekeye E.O., Ord R.A.",Aug-83,Cancrum oris: Principles of management and reconstructive surgery,Cross sectional study,04/1978 - 04/1982,medical records,"Maxillofacial unit, Department of Dental Surgery of the Ahmadu Bello University Hospital (Teaching Hospital)","""All the patients were Nigerian Africans who came from a wide referral area.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA
